   -0.2980024451103258087414360E+00,    0.2973499977909745961568433E+00,,   -0.6007530175803044159010824E+00,   -0.4682891690375570736826205E-02,,   -0.3026888783930168358438095E+00,   -0.3020325157845901165032387E+00,
   -0.2979601574693582222153054E+00,    0.2972738610030925543448177E+00,,   -0.6007921575887262832793567E+00,   -0.4803120063415433627085349E-02,,   -0.3027670986744031011994593E+00,   -0.3020765778587096161977854E+00,
   -0.2979183129499727300526501E+00,    0.2971973129559181137082646E+00,,   -0.6008322914229680122844002E+00,   -0.4923360168927595759136295E-02,,   -0.3028457881520143502029896E+00,   -0.3021202388901497171147525E+00,
   -0.2978769113234314147575788E+00,    0.2971203535100557235892893E+00,,   -0.6008734193038876014725247E+00,   -0.5043612302599198571328998E-02,,   -0.3029249472521993169493726E+00,   -0.3021634989970227724853657E+00,
   -0.2978359523633073990822595E+00,    0.2970429825257679956607149E+00,,   -0.6009155414578444265316648E+00,   -0.5163876760292382406269951E-02,,   -0.3030045764040103506431478E+00,   -0.3022063582972538409165963E+00,
   -0.2977954358456234018603936E+00,    0.2969651998629743161473016E+00,,   -0.6009586581168289143306538E+00,   -0.5284153838051128260211442E-02,,   -0.3030846760390506489102336E+00,   -0.3022488169085864040397382E+00,
   -0.2977553615485177829214081E+00,    0.2968870053812548981397867E+00,,   -0.6010027695182191820322259E+00,   -0.5404443832103728029281342E-02,,   -0.3031652465914547178726934E+00,   -0.3022908749485830881553738E+00,
   -0.2977157292526246834540871E+00,    0.2968083989398392352754286E+00,,   -0.6010478759049533437064383E+00,   -0.5524747038868571546998965E-02,,   -0.3032462884980215989116914E+00,   -0.3023325325346278291682722E+00,
   -0.2976765387408999430363110E+00,    0.2967293803976113197862219E+00,,   -0.6010939775254957595507221E+00,   -0.5645063754956880508473205E-02,,   -0.3033278021981917760285796E+00,   -0.3023737897839268162769599E+00,
   -0.2976377897986779430539173E+00,    0.2966499496131057567183120E+00,,   -0.6011410746338761157403496E+00,   -0.5765394277178356730040321E-02,,   -0.3034097881339423707913738E+00,   -0.3024146468135118226427949E+00,
   -0.2975994822134406803115780E+00,    0.2965701064445067647312726E+00,,   -0.6011891674895952775159458E+00,   -0.5885738902545720185877087E-02,,   -0.3034922467498351039694171E+00,   -0.3024551037402413711241422E+00,
